Producto,Unidad,Stock Atolon,Stock Loggro,Diferencia,LoggroID
"Pimenton rojo","Gr",1700,0,1700,66411509c33d858647eaf977
"ZUQUINI AMARILLO","Gr",1700,0,1700,6657638fd2edf47f61f19dc7
"Filete de Tilapia","Gr",1600,0,1600,6644e2ac8428e904c5bc946a
"COBERTURA DE CHOCOLATE BLANCO","Gr",1500,0,1500,66908f6cb40430841846be0e
"Mantequilla","Gr",1500,0,1500,66411508c33d858647eaf8a5
"GENJIBRE","Gr",1400,0,1400,666dc48fb687fd76425ee4cf
"mango tommy","Gr",1350,0,1350,66908809e61bf1aaa4c0a70f
"Bicarbonato Aro","Gr",1350,0,1350,6644e2ac8428e904c5bc943a
"VINO BLANCO","Ml",1350,0,1350,6873cb226a3a2f5eeb09924e
"robalo en posta","Gr",1350,0,1350,66dc851dd9718a2d775f179f
"zanahoria baby","Gr",1300,0,1300,66db1cbf87adb4c83a7e27d7
"REMOLACHA","Gr",1250,0,1250,685c8d6346993e597bc4d524
"laurel","Gr",1200,0,1200,6690783cb4043084181660f7
"ALMENDRAS","Gr",1140,0,1140,687527150f8f3850d5d124a4
"queso crema","Gr",1140,0,1140,666372b49d89c645bdaa9364
"Anis estrella","Gr",1100,0,1100,6644e2ac8428e904c5bc9452
"jamon colanta","Gr",1025,0,1025,66639af45e21cd4837b1695e
"Paprika Badia","Gr",1006,0,1006,6644e2ac8428e904c5bc942e
"ARRACHERA","Gr",1000,0,1000,676477ccae99d2ae935161ab
"Pepino Cohombro","Gr",1000,0,1000,66411509c33d858647eaf959
"JUGO DE NARANJA","Ml",1000,0,1000,68752a734c711bfff5f04dba
"AZUCAR MICRO","Gr",1000,0,1000,68752a23ad60df2a380a1fcb
"ARVEJA","Gr",1000,0,1000,669fbea487f082f931849dcd
"Queso Costeño","Gr",1000,0,1000,66411508c33d858647eaf8cf
"JAMON DE PAVO","Gr",975,0,975,6658b4877d538689e837f5dc
"Clavo de olor","Gr",850,0,850,685d9707c1785926391776a4
"levadura","Gr",850,0,850,664cce5a37c670e5e59739f5
"Pimienta Badia","Gr",806,0,806,6644e2ac8428e904c5bc9446
"AREQUIPE","Gr",800,0,800,6a340d17a87e61c22db485b4
"AJONJOLY","Gr",800,0,800,68752c1b7da9b166c874bbd5
"ACEITE DE TRUFA","Ml",750,0,750,685d4d0577a74cafdee1c1ed
"Zumo de limon","Ml",650,0,650,68753ae898b4307b843d7ad7
"perejil","Gr",600,0,600,66a6c944d315a468031ae1dc
"MIEL","Ml",600,0,600,685c8e92b083d9f324cec7c3
"syrope Aunt jemima","Ml",460,0,460,667d7d6d77aaf0b0ea7e00fc
"Soda Bretaña 300ml","Unidad",458,0,458,68750b386bea1eb52a42991a
"CANELA  EN ASTILLAS","Gr",430,0,430,66a024f49b7fdd100f214c07
"AGUA CRISTAL CON GAS","Und",413,0,413,6917a6fa9f8a8f497fe7b175
"curry en polvo badia","Gr",400,0,400,66639408ca185fd8d6e8ca40
"CHIA","Gr",400,0,400,66ec239bead575333e88b6e8
"FIDEOS DE ARROZ","Und",400,0,400,69fb7170de117f308f71065f
"Amargo de angostura","Ml",350,0,350,68769c92f4e6f5e2a8d2ef8e
"Confitado de corozo","Gr",350,0,350,6649193e559249e1e6c1bab0
"EMPANADAS  DE CARNE ","Unidad",307,0,307,69ef84cbf7b6b3838ddfa02d
"QUESO CABRA","Gr",300,0,300,66e47c036f595ec05bb91657
"Cerveza Costeñita","Unidad",291,0,291,6874f7c4284ec44c04fc9d70
"AGUA MALANTIAL CON GAS","Und",259,0,259,6a32b81c92cb750c6905d0c9
"tortilla de maiz","Und",240,0,240,66562396e6beb90ede620fc2
"DEDITOS ","Unidad",236,0,236,69ef863f110864de6a7fe6e2
"TAHINI","Gr",220,0,220,68752bdb7da9b166c871c178
"NUEZ MOSCADA","Und",200,0,200,67059e064beb4520a1d0d852
"Te negro","Und",200,0,200,685d9e5b25c6bb260c78939e
"AJI DULCE","Gr",200,0,200,666dbf9a974be3d91bb51684
"Stevia","Und",160,0,160,685d96bb8351b342aa00744c
"Coca Cola Zero 330ml","Und",141,0,141,69ea6bfafe1f91808a9dab9b
"Agua Tonica Canada Dry 300ml","Unidad",138,0,138,68750bcc728142c85dc31669
"Cerveza Aguila Light","Unidad",116,0,116,6874f7976bea1eb52ae8ec38
"Cerveza Heineken","Unidad",100,0,100,6874f802df1cf740b1c35fb8
"Uva pasa","Gr",100,0,100,66411508c33d858647eaf887
