Clasificacion,Producto,Categoria,Cantidad,Valor
bebida,"AGUILA LIGHT MICHELADA","(sin categoria)",12,216000
comida,"VEGETALES A LA PARILLA","COMPLEMENTOS Y ADICIONALES",12,150000
bebida,"HEINEKEN","CERVEZAS",12,216000
bebida,"Tonica OCEAN","BEBIDAS",12,240000
bebida,"VIEJO DE CALDAS TRADICIONAL BT","BOTELLAS",12,3360000
bebida,"DON JULIO 70 SHOT","TEQUILA / MEZCAL",11,1210000
comida,"ENTRAÑA PAPAS A LA FRANCESA","(sin categoria)",11,952600
comida,"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES",11,720500
bebida,"MARGARITA DE MARACUYÁ","COCKTAILS / MIX",11,605000
otro,"MASAJE 1 HRS","Otros",11,2750000
comida,"ARROZ PORCION","COMPLEMENTOS Y ADICIONALES",11,110000
bebida,"ZUMO DE LIMON","Producción BAR",10,40000
bebida,"DON JULIO 70 BT","BOTELLAS",10,11000000
comida,"HOT CAKES","MENU - DESAYUNOS",10,324000
bebida,"LIMONADA CEREZADA","Jugos",10,160000
bebida,"Patillazo","COCKTAILS / MIX",10,550000
comida,"SUPREMA DE POLLO A LA PARRILLA VIP PASS PASADIA","VIP PASS MENU",10,10
bebida,"Mini bar - Stella","Minibar",10,180000
bebida,"Grey Goose Shot","VODKA / GIN",10,585000
comida,"AREPAS AREPAS CON HUEVO","(sin categoria)",10,150000
comida,"ATOLON  PIZZA","PIZZAS Y TACOS",9,468000
bebida,"Electrolit 625ml","BEBIDAS",9,108000
comida,"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS",9,270000
comida,"MEGA TRAVEL COCA COLA ZERO","(sin categoria)",9,9
bebida,"MOJITO COLOMBIANO","COCKTAILS / MIX",8,440000
bebida,"limonada natural","Jugos",8,104000
comida,"ATOLON SALAD","ENTRADAS Y ENSALADAS",8,264000
otro,"PIE DE LIMON","PRODUCCION COCINA",8,256000
bebida,"COCA-COLA LATA ORIGINAL 330ML","BEBIDAS",8,120000
bebida,"RON HAVANA CLUB 7 BT","BOTELLAS",8,3600000
bebida,"Tonica INDI","BEBIDAS",7,140000
bebida,"jugo de maracuya","Producción BAR",7,63000
comida,"ATUN POKE BOWL","ENTRADAS Y ENSALADAS",7,364000
comida,"BROWNIE","Insumos cocina",7,224000
comida,"ADICION SALMON TOSTADA AGUACATE","MENU - DESAYUNOS",7,77000
bebida,"Dorado Highball","COCKTAILS / MIX",7,385000
bebida,"BUCHANAN'S 12 AÑOS BT","BOTELLAS",7,3850000
comida,"ADICION DE PAN","COMPLEMENTOS Y ADICIONALES",6,54000
bebida,"BASE DE COCTEL","COCKTAILS / MIX",6,120000
comida,"TACOS DE ENTRAÑA VIP EXCLUSIVE","VIP EXCLUSIVE MENU",6,6
bebida,"DON JULIO REPOSADO SHOT","TEQUILA / MEZCAL",6,375000
comida,"LANGOSTA A LA PARRILLA VIP PASS PASADIA","VIP PASS MENU",6,480000
comida,"CHILAQUILES CHILAQUILES CON POLLO","(sin categoria)",6,222000
bebida,"CAFE FRIO","BEBIDA CALIENTES - HOT SOFT DRINKS",6,66000
bebida,"NEGRONI","COCKTAILS / MIX",6,330000
bebida,"AGUILA LIGHT CON CLAMATO","(sin categoria)",6,180000
comida,"MEGA TRAVEL COCA COLA","(sin categoria)",6,6
bebida,"Mini bar - Electrolic","Minibar",6,72000
comida,"HUMMUS MEDITERANEO","ENTRADAS Y ENSALADAS",5,195000
bebida,"CAFE ESPRESSO","BEBIDA CALIENTES - HOT SOFT DRINKS",5,50000
bebida,"SODA SABORIZADA SODA MARACUYÁ","(sin categoria)",5,90000
comida,"CHILAQUILES CHILAQUILES CON HUEVOS","(sin categoria)",5,175000
comida,"ADICION JAMON IBERICO  TOSTADA AGUACATE","MENU - DESAYUNOS",5,40000
comida,"TIRADITO DE PESCADO","MENU FULL YATE",5,275000
bebida,"LONG ISLAND ICE TEA","COCKTAILS / MIX",5,275000
comida,"Adicion de suero","COMPLEMENTOS Y ADICIONALES",5,25000
comida,"ADICION DE ENSALADA","ENTRADAS Y ENSALADAS",5,30000
bebida,"ESPRESSO DOBLE","BEBIDA CALIENTES - HOT SOFT DRINKS",5,75000
bebida,"AGUARDIENTE ANTIOQUEÑO AZUL SHOT","AGUARDIENTE",5,150000
comida,"PIZZA MARGARITA VIP EXCLISIVE PASADIA","VIP EXCLUSIVE MENU",5,5
bebida,"Mini bar - Red bull","Minibar",5,100000
bebida,"Chandon Extra Brut 750Ml BT","VINOS / ESPUMOSOS",5,1600000
bebida,"AGUARDIENTE MANZANARES SHOT","AGUARDIENTE",5,150000
bebida,"AGUARDIENTE ANTIOQUEÑO VERDE BT","BOTELLAS",5,1325000
comida,"PURE DE BATATA","COMPLEMENTOS Y ADICIONALES",4,62000
bebida,"RAMON BILBAO","BOTELLAS",4,800000
comida,"ADICION DE TORTILLAS","COMPLEMENTOS Y ADICIONALES",4,24000
bebida,"santa carolina Savignon blanc BT","BOTELLAS",4,560000
bebida,"CLUB COLOMBIA CON CLAMATO","(sin categoria)",4,120000
bebida,"COPA DE VINO BLANCO SANTA CAROLINA","VINOS / ESPUMOSOS",4,132000
comida,"HOTCAKES MEZCLA TRADICIONAL","(sin categoria)",4,4
comida,"ADICION DE HUEVO  TOSTADA AGUACATE","MENU - DESAYUNOS",4,16000
comida,"PANCAKES NUTELLA","MENU FULL YATE",4,160000
otro,"Caja de pizza","Insumos cocina",4,10000
comida,"PIZZA NUTELLA","POSTRES",4,192000
bebida,"1800 REPOSADO SHOT","TEQUILA / MEZCAL",4,262000
bebida,"LIMONADA MINERAL","BEBIDAS",4,52000
bebida,"DAIQUIRI MARACUYA","COCKTAILS / MIX",4,220000
bebida,"COSTEÑITA","CERVEZAS",4,48000
bebida,"COPA VINO TINTO SANTA CAROLINA","VINOS / ESPUMOSOS",4,132000
comida,"PIZZA PEPERONI VIP PASS PASADIA","VIP PASS MENU",4,4
bebida,"PEPSI COLA REGULAR","BEBIDAS",4,44000
comida,"PIE DE LIMON VIP EXCLUSIVE","VIP EXCLUSIVE MENU",4,4
comida,"BROWNIE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU",4,4
comida,"ENSALADA CESAR VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU",4,4
otro,"DESCORCHE","Otros",4,600000
bebida,"CAFE LATTE","BEBIDA CALIENTES - HOT SOFT DRINKS",4,44000
