LoggroID,Ingrediente,Categoria,Unidad,StockLoggro,EnAtolon
"666375a3ff7e565b6deaab8d","cebollin","Insumos cocina","Gr",0,"cebollin"
"69f236af4e7c03f1db77e9da","CEPILLO DENTAL","Otros","Und",0,"CEPILLO DENTAL"
"69f23654d18de786dc245253","CEPILLOS PARA LAVAR","Otros","Und",0,"CEPILLOS PARA LAVAR"
"69f22b1514ec8dafab2b3293","CERA PARA DUELAS DE MADERA","Otros","Und",0,"CERA PARA DUELAS DE MADERA"
"66411508c33d858647eaf8e7","Cerdo Barriguero","PRODUCCION COCINA","Gr",0,"Cerdo Barriguero"
"66909167f6b8a33025021766","CEREAL","Insumos cocina","Und",0,"CEREAL"
"6874f7d56bea1eb52ae99bf4","Cerveza Stella Artois","CERVEZAS","Und",0,"Cerveza Stella Artois"
"66ec239bead575333e88b6e8","CHIA","Insumos cocina","Gr",0,"CHIA"
"66f60b39c3ad95c839432c24","CHICHARRONES por 200gr","PRODUCCION COCINA","Und",0,"CHICHARRONES por 200gr"
"68f173b40ef0d02e2317cbcc","Chile Guajillo","Insumos cocina","Gr",0,"Chile Guajillo"
"68f173a41f79eb00e9c3a8db","Chile Jalapeno","Insumos cocina","Gr",0,"Chile Jalapeno"
"66a95e0c31ff5c5de241aaec","CHIMICHURRI","PRODUCCION COCINA","Gr",0,""
"69f25906e59ce29507b5ae35","CHOCOLATE M&M  MILK CHOCOLATE","Otros","?",0,"CHOCOLATE M&M  MILK CHOCOLATE"
"66a525dce37b0c578eb260c8","chorizo antiqueño","Insumos cocina","Und",0,"chorizo antiqueño"
"68810d3a2186f488dbd1d2ac","CHULETA","PRODUCCION COCINA","Kg",0,""
"6a01f0e12058d952890bbf34","cinta aislante 23","Otros","?",0,"cinta aislante 23"
"6a01e39a80f32a84067af59a","cinta aislante 33","Otros","?",0,"cinta aislante 33"
"69f27a2e9bad3a78794c972b","CINTA TRANSPARENTE GRANDE","Otros","?",0,"CINTA TRANSPARENTE GRANDE"
"6a01f1e23ce5032639d47d82","cintas de colores","Otros","?",0,"cintas de colores"
"69efa34a10b77ea6f35d6b2c","Cinzano Brut","VINOS / ESPUMOSOS","?",0,"Cinzano Brut"
"69efb99b4789f53e426b649d","Cinzano Rosso","LICORES","?",0,"Cinzano Rosso"
"68769e125552e0779e46de67","Clara de huevo","Producción BAR","Und",0,"Clara de huevo"
"685d9707c1785926391776a4","Clavo de olor","Producción BAR","Gr",0,"Clavo de olor"
"69f25b427f65cb794ddd5e1f","CLORO 20 LT","Otros","Und",0,"CLORO 20 LT"
"6a2efbcbdc5ca6b8291867a6","CLORO EN GEL","Otros","Und",0,"CLORO EN GEL"
"6874f875284ec44c04fe14b4","Club Colombia","CERVEZAS","Und",0,"Club Colombia"
"66908f6cb40430841846be0e","COBERTURA DE CHOCOLATE BLANCO","Insumos cocina","Gr",0,"COBERTURA DE CHOCOLATE BLANCO"
"68750c4a0f8f3850d50faa98","Coca Cola Original 3L","BEBIDAS","Und",0,"Coca Cola Original 3L"
"68750c5e02031e4f088c42fc","Coca Cola Zero 2.5L","BEBIDAS","Und",0,"Coca Cola Zero 2.5L"
"68750ae5728142c85dbe2258","Coca Cola Zero Botella 400ml","BEBIDAS","Und",0,"Coca Cola Zero Botella 400ml"
"6874472e7d3f758e7588e708","COCADAS TRADICIONALES","PRODUCCION COCINA","Und",0,"COCADAS TRADICIONALES"
"685d9252910e32688b136264","Coco deshidratado","Producción BAR","Gr",0,"Coco deshidratado"
"68f1923d6dbbc441ca624ecc","Coco Rallao","Producción BAR","Gr",0,"Coco Rallao"
"66ec20e3ead575333e7d4021","Cocoa","Insumos cocina","Gr",0,"Cocoa"
"685d9ba30d750d02fda76134","Cocoa en polvo","Producción BAR","Und",0,"Cocoa en polvo"
"66411508c33d858647eaf8ff","Codillo","PRODUCCION COCINA","Gr",0,"Codillo"
"67068cffb0a8235b1cd2a00d","cohete","Insumos cocina","Gr",0,"cohete"
"69fcd2bcb0c11e76e7f7ffa5","combustible acpm","Otros","?",0,"combustible acpm"
"68752d804c711bfff50e5632","CONTENEDOR DELI LITRO","PRODUCCION COCINA","Und",0,"CONTENEDOR DELI LITRO"
"6658a94224ba6308645bad03","costilla de res","PRODUCCION COCINA","Und",0,""
"66411508c33d858647eaf863","Crema de coco","PRODUCCION COCINA","Und",0,"Crema de coco"
"6a31a4be409331407e6645b5","CROQUETAS DE YUCA","COMPLEMENTOS Y ADICIONALES","?",0,""
"68752d1cad60df2a3827f716","CUBIERTOS DESECHABLES","Insumos cocina","Und",0,"CUBIERTOS DESECHABLES"
"66a6c8e1a572117f69c162ad","curcuma","Insumos cocina","Gr",0,"curcuma"
"66639408ca185fd8d6e8ca40","curry en polvo badia","Insumos cocina","Gr",0,"curry en polvo badia"
"6875726d080ea68e3dd30558","Dash orange bitter","Producción BAR","Ml",0,"Dash orange bitter"
"69f25ce9915adf19d5df13c8","DESINFECTANTE","Otros","Und",0,"DESINFECTANTE"
"66e1ce47eccf266077f407c8","detergente","Otros","Und",0,"detergente"
"68750c99768539e6aa4433af","Electrolit 450ml","BEBIDAS","Und",0,"Electrolit 450ml"
