Producto,Categoria,UnidadProducto,PrecioVenta,Fuente
"Jengibre","Insumos cocina","Gr",0,"/ingredients"
"Jimador Silver","TEQUILA / MEZCAL","",0,"/ingredients"
"Johnnie Walker Black Label 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"Johnnie Walker Blue Label 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"Johnnie Walker Red Label 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"Jose Cuervo Blanco 750ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Jose Cuervo Reposado 750ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"jugo de corozo","Jugos","",9000,"/products"
"jugo de guanabana","Jugos","",9000,"/products"
"Jugo de limon","Producción BAR","Ml",0,"/ingredients"
"Jugo de maggie","Producción BAR","Und",0,"/ingredients"
"jugo de maracuya","Jugos","",9000,"/products"
"Jugo de maracuya","Producción BAR","Ml",0,"/ingredients"
"Jugo de naranja","Producción BAR","Ml",0,"/ingredients"
"JUGO DE NARANJA","PRODUCCION COCINA","Ml",0,"/ingredients"
"Jugo de pepino","Producción BAR","Ml",0,"/ingredients"
"jugo de piña","Jugos","",9000,"/products"
"Jugo de piña","Producción BAR","Ml",0,"/ingredients"
"jugo de sandia","Jugos","",9000,"/products"
"Jugo de sandia","Producción BAR","Ml",0,"/ingredients"
"Jugo de Tomate","Producción BAR","Ml",0,"/ingredients"
"Jugo desayuno Buffet","DESAYUNOS BUFFET","",0,"/products"
"jugos","Consumo pasadía","",0,"/products"
"Kola Roman Botella 400ml","BEBIDAS","Unidad",0,"/ingredients"
"LANGOSTA","Insumos cocina","Gr",0,"/ingredients"
"LANGOSTINOS","Insumos cocina","Gr",0,"/ingredients"
"laurel","Insumos cocina","Gr",0,"/ingredients"
"LAURENT PERRIER BRUT","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"LAVANDERIA","Otros","",100000,"/products"
"Leche condensada","Producción BAR","Gr",0,"/ingredients"
"Leche de almendras","Producción BAR","Und",0,"/ingredients"
"LECHE DE ALMENDRAS","Insumos cocina","Ml",0,"/ingredients"
"LECHE DE COCO","Insumos cocina","Ml",0,"/ingredients"
"Leche de soya","Producción BAR","Und",0,"/ingredients"
"LECHE DE SOYA","Insumos cocina","Ml",0,"/ingredients"
"Leche deslactosada","Producción BAR","Und",0,"/ingredients"
"leche entera","Insumos cocina","Ml",0,"/ingredients"
"Leche entera","Producción BAR","Ml",0,"/ingredients"
"LECHUGA BATABIA","Insumos cocina","Gr",0,"/ingredients"
"LECHUGA CRESPA MORADA","Insumos cocina","Gr",0,"/ingredients"
"Lechuga Crespa Verde","Insumos cocina","Gr",0,"/ingredients"
"LECHUGA ROMANA","Insumos cocina","Gr",0,"/ingredients"
"LENTEJAS","Insumos cocina","Gr",0,"/ingredients"
"levadura","Insumos cocina","Gr",0,"/ingredients"
"Licor 43 - 750ml","LICORES","Unidad",0,"/ingredients"
"Licor Amareto Disaronno 750ml","LICORES","Unidad",0,"/ingredients"
"Licor Cointreau 700ml","LICORES","Unidad",0,"/ingredients"
"LICOR DE CAFÉ 750 ML","LICORES","Und",0,"/ingredients"
"Licor Triple Sec 750ml","LICORES","Unidad",0,"/ingredients"
"Licor Triple Sec Blue 750ml","LICORES","Unidad",0,"/ingredients"
"Limon","Insumos cocina","Gr",0,"/ingredients"
"Limon B","Producción BAR","Gr",0,"/ingredients"
"Limon deshidratado","Producción BAR","Und",0,"/ingredients"
"limonada cerezada","Jugos","",16000,"/products"
"limonada de coco","Jugos","",18000,"/products"
"limonada natural","Jugos","",13000,"/products"
"limpiador aro","Otros","Unidad",0,"/ingredients"
"limpión micro fibra azul","Otros","Und",0,"/ingredients"
"LIQUIDO ANTI ACAROS","Otros","Und",0,"/ingredients"
"LIQUIDO LIMPIA CRISTALES Y ESPEJOS","Otros","Und",0,"/ingredients"
"LOMO FINO","Insumos cocina","Gr",0,"/ingredients"
"Lonchita amarillo","PRODUCCION COCINA","Und",0,"/ingredients"
"Lychee el Fortin - 567g ","Otros","",0,"/ingredients"
"Lychee Fruta Lata","Producción BAR","Gr",0,"/ingredients"
"Macallan 12  700 ml","BOTELLAS","Und",0,"/ingredients"
"Maestro Dobel 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"MAGGI","Insumos cocina","Und",0,"/ingredients"
"MAIZ PIRA","PRODUCCION COCINA","Gr",0,"/ingredients"
"maíz tierno","Insumos cocina","Gr",0,"/ingredients"
"Maizena","PRODUCCION COCINA","Gr",0,"/ingredients"
"mango tommy","Insumos cocina","Gr",0,"/ingredients"
"MANI MIX","Minibar","",6000,"/products"
"MANI SALADO FRITOLAY 50 GR","Otros","",0,"/ingredients"
"Mantequilla","Insumos cocina","Gr",0,"/ingredients"
"MANTEQUILLA PORCION","Insumos cocina","Und",0,"/ingredients"
"MANZANA POSTOBON","BEBIDAS","",11000,"/products"
"MANZANA VERDE","Insumos cocina","Gr",0,"/ingredients"
"manzanilla miel y jengibre","Producción BAR","Und",0,"/ingredients"
"Mar de Frades","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"Maracuya B","Producción BAR","Gr",0,"/ingredients"
"Martini Bitters 1000ml","LICORES","Unidad",0,"/ingredients"
"Martini Dry","LICORES","",0,"/ingredients"
"MASA DE CERDO","Insumos cocina","Kg",0,"/ingredients"
"masa de chocosuela","Insumos cocina","Gr",0,"/ingredients"
"MASA DE MAIZ AMARRILLO","Insumos cocina","Gr",0,"/ingredients"
"MASA DE MAIZ BLANCO","Insumos cocina","Gr",0,"/ingredients"
"MASA DE YUCA","Insumos cocina","Kg",0,"/ingredients"
"MASAJE 1 HRS","Otros","",250000,"/products"
"MASAJE 30 MNTS","Otros","",150000,"/products"
"Mayonesa Fruco","Producción BAR","Und",0,"/ingredients"
"Mayonesa Fruco","Insumos cocina","Gr",0,"/ingredients"
"MEGA TRAVEL","CORTESIAS","",1,"/products"
"mejillones","Insumos cocina","Gr",0,"/ingredients"
"Melon","Insumos cocina","Gr",0,"/ingredients"
"MEMOS DE COLORES","Otros","",0,"/ingredients"
"Menta","Producción BAR","Gr",0,"/ingredients"
"MENU 2do TIEMPO ADULTO","MENU FIN DE AÑO","",114500,"/products"
"MENU INFANTIL","BODA","",40000,"/products"
"MENU TESTING","MENU TESTING","",0,"/products"
"Mezcal 400 Conejos 750ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"MEZCAL AMARAS BT","BOTELLAS","",750000,"/products"
"Mezcal Ojo de Tigre 750ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Mezcal Union 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Miel","Producción BAR","Und",0,"/ingredients"
"MIEL","Insumos cocina","Ml",0,"/ingredients"
"MIEL DE MAPLE","Insumos cocina","Ml",0,"/ingredients"
"mini  croisant","Insumos cocina","",0,"/ingredients"
"MINI CROISANT","Insumos cocina","",0,"/ingredients"
"Mini Pizza","MENU ATOLON KIDS PASA DIA","",1,"/products"
"MIX DE ARANDANOS","Otros","",0,"/ingredients"
"mix de brotes","Insumos cocina","Gr",0,"/ingredients"
"mix de lechugas","Insumos cocina","Gr",0,"/ingredients"
"MIX MADURADOS VILASECA SAL PEP CHO SER125 GR","Otros","",0,"/ingredients"
"Moet Chandon Brut 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Moet Chandon Ice 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"MOET ROSE IMPERIAL BT","BOTELLAS","",1600000,"/products"
"Mojarra roja","Insumos cocina","Und",0,"/ingredients"
"MONDONGO","Insumos cocina","Gr",0,"/ingredients"
"MONDONGO","Insumos cocina","Kg",0,"/ingredients"
"MONETO BT","BOTELLAS","",290000,"/products"
"Monkey Shoulder 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"MONTAJE CENA ROMANTICA","Otros","",162800,"/products"
"Mora Congeada","Insumos cocina","Gr",0,"/ingredients"
"morrillo","Insumos cocina","Kg",0,"/ingredients"
"Mostaza","PRODUCCION COCINA","Gr",0,"/ingredients"
"MUGA RIOJA VINO ROSSE","BOTELLAS","Und",0,"/ingredients"
"MURILLO","Insumos cocina","Gr",0,"/ingredients"
"muslo de pollo","Insumos cocina","Kg",0,"/ingredients"
"NARANJA","Insumos cocina","Gr",0,"/ingredients"
"Naranja deshidratada","Producción BAR","Und",0,"/ingredients"
"Naranjas Frutas","Producción BAR","Gr",0,"/ingredients"
"NUEZ DEL BRASIL","Insumos cocina","Gr",0,"/ingredients"
"NUEZ MOSCADA","Insumos cocina","Und",0,"/ingredients"
"Ñame","PRODUCCION COCINA","Gr",0,"/ingredients"
"Old Parr 12 - 750ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"OLD PARR 18 750ML","WHISKY / BOURBON","Und",0,"/ingredients"
"OLMECA PLATA 700ML","BOTELLAS","Unidad",0,"/ingredients"
"OPEN BAR","Otros","",162000,"/products"
"otros servicio","Otros","",168000,"/products"
"PALENQUERAS","BODA","",100000,"/products"
"PALITOS BURGUER","PRODUCCION COCINA","Und",0,"/ingredients"
"PAN ARTESANO BIMBO","Insumos cocina","Unidad",0,"/ingredients"
"PAN BAGUETTE","Insumos cocina","Und",0,"/ingredients"
"Pan hamburguesa","Insumos cocina","Und",0,"/ingredients"
"PAN MASA MADRE","Insumos cocina","Unidad",0,"/ingredients"
"PAN MOGOLLA","Insumos cocina","Und",0,"/ingredients"
"Pan tajado","Insumos cocina","Unidad",0,"/ingredients"
"PANCAKES DE NUTELLA","FULL YATE MENU","",40000,"/products"
"PANCAKES NUTELLA","MENU FULL YATE","",40000,"/products"
"PANELA","Producción BAR","Und",0,"/ingredients"
"Panela D1","Insumos cocina","Und",0,"/ingredients"
"panko","Insumos cocina","Gr",0,"/ingredients"
"Papa","Insumos cocina","Gr",0,"/ingredients"
"PAPA BBQ MARGARITA","Minibar","",6500,"/products"
"PAPA BBQ MARGARITA","Minibar","",6500,"/products"
"PAPA CRIOLLA","Insumos cocina","Gr",0,"/ingredients"
"PAPA NATURAL MARGARITA","Minibar","",6500,"/products"
"PAPAS A LA FRANCESA TRUFADAS","COMPLEMENTOS Y ADICIONALES","",18000,"/products"
"PAPAS EN CASCOS","Insumos cocina","Gr",0,"/ingredients"
"papas francesas","Insumos cocina","Gr",0,"/ingredients"
"PAPAS PRINGLES ORIGINAL 67 GR","Otros","",0,"/ingredients"
"PAPAYA","Insumos cocina","Gr",0,"/ingredients"
"papel higienico  premium","Otros","Und",0,"/ingredients"
"PAPELERA 3 PISOS ","Otros","",0,"/ingredients"
"Paprika Badia","Insumos cocina","Gr",0,"/ingredients"
"PAQUETE DE TOALLITAS HUMEDAS","Otros","Und",0,"/ingredients"
"PARGO ROJO","Insumos cocina","Und",0,"/ingredients"
"París de Nuit 750ml","VINOS / ESPUMOSOS","",0,"/ingredients"
"PASA DIA VIP PASS","Consumo pasadía","",320000,"/products"
"PASABOCAS MEDIA NOCHE","BODA","",25000,"/products"
"PASADIA","Otros","",170000,"/products"
"PASADIA EVENTO","Consumo pasadía","",270000,"/products"
"pasadia niño","Otros","",240000,"/products"
"Pasadía NIÑO","Consumo pasadía","",240000,"/products"
"pasadia sin bote","Consumo pasadía","",120000,"/products"
"PASADIA VIP EXCLUSIVE","pasadia","",540000,"/products"
"pasadia vip pss","pasadia","",320000,"/products"
"PASTA DE DIENTES COLGATE","Otros","Und",0,"/ingredients"
"pasta de tomate","Insumos cocina","Gr",0,"/ingredients"
"Pasta Penne","Insumos cocina","Gr",0,"/ingredients"
"Patilla","Insumos cocina","Gr",0,"/ingredients"
"Patilla","Producción BAR","Gr",0,"/ingredients"
"Patillazo","COCKTAILS / MIX","",55000,"/products"
"PATRON","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"PATRON AÑEJO BT","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Patron Cristalino 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"PATRON REPOSADO BT","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"pechuga de pollo","Insumos cocina","Gr",0,"/ingredients"
"Pechuga de Pollo a la Parrilla  | Grilled Chicken Breast","MENU ATOLON KIDS PASA DIA","",1,"/products"
"PECHUGA DE POLLO A LA PARRILLA CON ARROZ + SODA","BODA","",38500,"/products"
"PEDIDA MANO","Consumo pasadía","",980000,"/products"
"PEDIDA MANO","Consumo pasadía","",0,"/products"
"Pegucha","PRODUCCION COCINA","Gr",0,"/ingredients"
"peperoni","Insumos cocina","Gr",0,"/ingredients"
"Pepino","Producción BAR","Gr",0,"/ingredients"
"Pepino Cohombro","Insumos cocina","Gr",0,"/ingredients"
"pepino europeo","Insumos cocina","Gr",0,"/ingredients"
"PEPSI COLA REGULAR","BEBIDAS","",11000,"/products"
"PEPSI COLA ZERO","BEBIDAS","",11000,"/products"
"perejil","Insumos cocina","Gr",0,"/ingredients"
"PERSONAL ADICIONAL","Otros","",150000,"/products"
"PERSONAL DE SERVICIO","Otros","",170000,"/products"
"Pescado en Posta","MENU FULL YATE","",60000,"/products"
"PESCADO EN POSTA + BEBIDA","MENÚ STAFF","",38500,"/products"
"PESCADO EN POSTA VIP EXCLUSIVE","VIP EXCLUSIVE MENU","",0,"/products"
"PESCADO EN POSTA VIP PASS PASADIA","VIP PASS MENU","",0,"/products"
"PESCADO FRITO VIP EXCLUSIVE","VIP EXCLUSIVE MENU","",0,"/products"
"PESCADO FRITO VIP PASS PASADIA","VIP PASS MENU","",0,"/products"
"PESCADO PERSONAL","PRODUCCION COCINA","Kg",0,"/ingredients"
"PICCINI/JP BT","BOTELLAS","",270000,"/products"
"Pie de Limón","MENU FULL YATE","",32000,"/products"
"PIE DE LIMÓN","MENU AFTER","",32000,"/products"
"Pie de Limón | Lemon Pie","MENU ATOLON KIDS PASA DIA","",1,"/products"
"PIMENTON AMARILLO","Insumos cocina","Gr",0,"/ingredients"
"Pimenton rojo","Insumos cocina","Gr",0,"/ingredients"
"Pimenton verde","Insumos cocina","Gr",0,"/ingredients"
"Pimienta Badia","Insumos cocina","Gr",0,"/ingredients"
"pimienta de olor","Insumos cocina","Gr",0,"/ingredients"
"Pina","Insumos cocina","Gr",0,"/ingredients"
"Piña","PRODUCCION COCINA","Gr",0,"/ingredients"
"Piña","Producción BAR","Und",0,"/ingredients"
"Piña deshidratada","Producción BAR","Und",0,"/ingredients"
"PISCO BT","BOTELLAS","",290000,"/products"
"PISCO VIÑA DE ORO 750 ML","BOTELLAS","Und",0,"/ingredients"
"Pizza de Nutella","MENU FULL YATE","",48000,"/products"
"Pizza Margarita","MENU FULL YATE","",40000,"/products"
"PIZZA NUTELLA","MENU OPENING","",0,"/products"
"Pizza Pepperoni","MENU FULL YATE","",48000,"/products"
"PIZZA PEPPERONI","MENU AFTER","",48000,"/products"
"Pizza Vegetariana","MENU FULL YATE","",42000,"/products"
"PIZZA VEGETARIANA","MENU AFTER","",42000,"/products"
"PLATANITO VERDES","Minibar","",6500,"/products"
"PLATANO MADURO","Minibar","",6500,"/products"
"PLATANO POCHOCHO","Insumos cocina","",200,"/products"
"platanos","Insumos cocina","Und",0,"/ingredients"
"PLATANOS MADUROS MONTEROJO SAL MARINA 110GR","Otros","",0,"/ingredients"
"PLATANOS MONTEROJO SURTIDOS 180 GR EN 6 UN","Otros","",0,"/ingredients"
"platos de carton","Otros","Und",0,"/ingredients"
"plumero micro fibras","Otros","Und",0,"/ingredients"
"Pollo Contra Muslo","PRODUCCION COCINA","Kg",0,"/ingredients"
"polvo de hornear","Insumos cocina","Gr",0,"/ingredients"
"Ponche de frutas","Producción BAR","Ml",0,"/ingredients"
"PONQUE BROWNIE","Minibar","",2500,"/products"
"POOL BED","pasadia","",270000,"/products"
"premezcla pancakes aunt jemima","Insumos cocina","Gr",0,"/ingredients"
"Pulpa de fresa","Producción BAR","Und",0,"/ingredients"
"pulpa de guanabana","Producción BAR","Und",0,"/ingredients"
"Pulpa de lulo","Producción BAR","Und",0,"/ingredients"
"Pulpa de mango","Producción BAR","Und",0,"/ingredients"
"pulpa de maracuya","Producción BAR","Und",0,"/ingredients"
"Pulpa de mora","Producción BAR","Und",0,"/ingredients"
"PULPA MANDARINA","Producción BAR","Und",0,"/ingredients"
"Pulpa piña","Producción BAR","Und",0,"/ingredients"
"Punta de anca","PRODUCCION COCINA","Gr",0,"/ingredients"
"Puré de batata","MENU FULL YATE","",15500,"/products"
"PURE DE TRUFA","Insumos cocina","Gr",0,"/ingredients"
"quality blend","Producción BAR","Und",0,"/ingredients"
"Quatro Botella 400ml","BEBIDAS","Unidad",0,"/ingredients"
"QUESO AZUL","PLATOS PRINCIPALES","Gr",0,"/ingredients"
"QUESO BRIE","Insumos cocina","Gr",0,"/ingredients"
"QUESO CABRA","Insumos cocina","Gr",0,"/ingredients"
"QUESO CHEDDAR","Insumos cocina","Gr",0,"/ingredients"
"Queso Costeño","PRODUCCION COCINA","Gr",0,"/ingredients"
"queso crema","Insumos cocina","Gr",0,"/ingredients"
"QUESO GOUDA","Insumos cocina","Gr",0,"/ingredients"
"Queso Mozarella Tajado","Insumos cocina","Gr",0,"/ingredients"
"QUESO MOZARRELA BLOQUE","Insumos cocina","Gr",0,"/ingredients"
"Queso parmesano bloque","Insumos cocina","Gr",0,"/ingredients"
"QUITA MANCHAS OXIGENO ACTIVADO 5KG","Otros","Kg",0,"/ingredients"
"Rama de mente","Producción BAR","Und",0,"/ingredients"
"Rama de romero","Producción BAR","Und",0,"/ingredients"
"RAMON BILBAO COPA","VINOS / ESPUMOSOS","",40000,"/products"
"rayd","Otros","Und",0,"/ingredients"
"RECARGA HOOCKA N.","Otros","",0,"/products"
"RECARGA HOOKAH E.","Otros","",0,"/products"
"Red Bull 250ml","BEBIDAS","Unidad",0,"/ingredients"
"reductor de ph","Otros","",0,"/ingredients"
"REMO DE CKAYA","Otros","",180000,"/products"
"REMOLACHA","Insumos cocina","Gr",0,"/ingredients"
"Remy Martin 700ml","BOTELLAS","Unidad",0,"/ingredients"
"REPELENTE PARA MOSQUITOS","Otros","Und",0,"/ingredients"
"repollo morado","Insumos cocina","Gr",0,"/ingredients"
"robalo en posta","Insumos cocina","Kg",0,"/ingredients"
"Rodaja de chile","Producción BAR","Und",0,"/ingredients"
"rollo de bolsas medianas","Otros","Und",0,"/ingredients"
"rollos de bolsas tamaño jumbo","Otros","Und",0,"/ingredients"
"Romero","Producción BAR","Kg",0,"/ingredients"
"Ron Bacardi Añejo 700ml","RON","Unidad",0,"/ingredients"
"Ron Bacardi Blanco 700ml","RON","Unidad",0,"/ingredients"
"Ron Cachaza 51 - 965-ml","RON","Und",0,"/ingredients"
"Ron Cacique añejo 750 ML BT","BOTELLAS","",210000,"/products"
"Ron Havana 7 año - 700ml","RON","Unidad",0,"/ingredients"
"Ron La Hechicera 700ml","RON","Unidad",0,"/ingredients"
"Ron Viejo de Caldas Blanco 750ml","RON","Unidad",0,"/ingredients"
"RON VIEJO DE CALDAS CARTA DE ORO - 750ml","RON","Und",0,"/ingredients"
"Ron Viejo de Caldas Tradicional 750ml","RON","Unidad",0,"/ingredients"
"Rosaleda Cabernet Sauvignon BT","BOTELLAS","",130000,"/products"
"Rugula","PRODUCCION COCINA","Gr",0,"/ingredients"
"Sal","PRODUCCION COCINA","Gr",0,"/ingredients"
"sal gruesa","Insumos cocina","Gr",0,"/ingredients"
"salchicha ahumada parisienne","Insumos cocina","Und",0,"/ingredients"
"salchicha zenu long","Insumos cocina","Gr",0,"/ingredients"
"SALCHICHAS","Insumos cocina","Und",0,"/ingredients"
"SALCHICHON","Insumos cocina","Gr",0,"/ingredients"
"SALDO PAX","Consumo pasadía","",55000,"/products"
"SALDO PAX","Consumo pasadía","",0,"/products"
"SALMON FRESCO","PRODUCCION COCINA","Gr",0,"/ingredients"
"Salsa de soya","Insumos cocina","Ml",0,"/ingredients"
"Salsa de tomate","Insumos cocina","Gr",0,"/ingredients"
"Salsa de tomate","Producción BAR","Und",0,"/ingredients"
"SALSA DE TOMATE PARA CHILAQUILES","PRODUCCION COCINA","",0,"/products"
"Salsa inglesa","Producción BAR","Und",0,"/ingredients"
"SALSA NEGRA","Insumos cocina","Ml",0,"/ingredients"
"Salsa picante chile","Producción BAR","Und",0,"/ingredients"
"Salsa tabasco","Producción BAR","Und",0,"/ingredients"
"Santa Carolina Cabernet Rose: BT","BOTELLAS","",131700,"/products"
"Santa Carolina Reservado Cabernet Sauvignon","VINOS / ESPUMOSOS","",0,"/ingredients"
"Santa Carolina Reservado Merlot","VINOS / ESPUMOSOS","",0,"/ingredients"
"SEAWEED SALAD","PRODUCCION COCINA","Gr",0,"/ingredients"
"Selección de vegetales a la parrilla","MENU FULL YATE","",12500,"/products"
"SELECIÓN DE VEGETALES A LA PARRILLA","MENU AFTER","",12500,"/products"
"SEVEN UP","Minibar","",7000,"/products"
"SHOT  JENGIBRE","Shots","",3000,"/products"
"SHOT DE LIMÓN","Shots","",3000,"/products"
"sierra en posta","Insumos cocina","Und",0,"/ingredients"
"Singleton 12 años 700-ml","BOTELLAS","Und",0,"/ingredients"
"sirope de jengibre","Producción BAR","Oz",0,"/ingredients"
"SNACK BIENVENIDA","BODA","",25000,"/products"
"SODA","Producción BAR","Ml",0,"/ingredients"
"Soda Bretaña 300ml","BEBIDAS","Unidad",0,"/ingredients"
"Soho Licor de Lichee 700ml","LICORES","Unidad",0,"/ingredients"
"SPAGHETTIS","Insumos cocina","Gr",0,"/ingredients"
"SPECIAL","Shots","",69000,"/products"
"SPECIAL BT","BOTELLAS","",810000,"/products"
"STAFF","CORTESIAS","",38500,"/products"
"steak atun  sashimi","MENU FULL YATE","",72000,"/products"
"Steak de Atún Sashimi","MENU FULL YATE","",72000,"/products"
"Stevia","Producción BAR","Und",0,"/ingredients"
"STOLICHNAYA BT","BOTELLAS","",390000,"/products"
"STOLICHNAYA SHOT","VODKA / GIN","",32500,"/products"
"suavizante aro","Otros","Unidad",0,"/ingredients"
"Sucra ladiet","Producción BAR","Und",0,"/ingredients"
"Suero Costeño","PRODUCCION COCINA","Gr",0,"/ingredients"
"sulfato de aluminio tipo a","Otros","",0,"/ingredients"
"sulfato de aluminio tipo b","Otros","",0,"/ingredients"
"SUNTEA","Producción BAR","Und",0,"/ingredients"
"super clarificador ","Otros","",0,"/ingredients"
"syrope Aunt jemima","Insumos cocina","Ml",0,"/ingredients"
"Syrup de gengibre","Producción BAR","Oz",0,"/ingredients"
"Syrup de romero","Producción BAR","Ml",0,"/ingredients"
"Syrup Simple","Producción BAR","Oz",0,"/ingredients"
"Tabasco","Insumos cocina","Gr",0,"/ingredients"
"Tabasco 65ml","Producción BAR","Und",0,"/ingredients"
"TACOS DE POLLO","PIZZAS Y TACOS","",52000,"/products"
"TAHINI","PRODUCCION COCINA","Gr",0,"/ingredients"
"Tajin","Producción BAR","Und",0,"/ingredients"
"Tarjeta habitación","Otros","",25000,"/products"
"Té","BEBIDA CALIENTES - HOT SOFT DRINKS","",6000,"/products"
"TE HATSU","Minibar","",14000,"/products"
"Te mansanilla","Producción BAR","Und",0,"/ingredients"
"Té miel y gengibre","Producción BAR","Und",0,"/ingredients"
"Te negro","Producción BAR","Und",0,"/ingredients"
"té negro premium","Producción BAR","Und",0,"/ingredients"
"té verde","Producción BAR","Und",0,"/ingredients"
"Tequila 1800 Anejo - 750ml","TEQUILA / MEZCAL","",0,"/ingredients"
"Tequila 1800 Cristalino 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Tequila 1800 Reposado - 750ml","TEQUILA / MEZCAL","",0,"/ingredients"
"Tequila Gran Centenario 750Ml BT","BOTELLAS","",340000,"/products"
"Tequila Gran Centenario Plata 750ml BT","BOTELLAS","",320000,"/products"
"Tequila Jimador Reposado - 700ml","TEQUILA / MEZCAL","",0,"/ingredients"
"Tequila Jimador Shot","TEQUILA / MEZCAL","",30000,"/products"
"The Glenfiddich 12 - 750ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"THE GLENGLIVET 12 AÑOS BT","BOTELLAS","",490000,"/products"
"The Glenlivet 12  700 ml","BOTELLAS","Und",0,"/ingredients"
"The Glenlivet 18 - 750ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"The Glenlivet Founder","WHISKY / BOURBON","Unidad",0,"/ingredients"
"TIJERAS ","Otros","",0,"/ingredients"
"Tiradito de Pescado","MENU FULL YATE","",55000,"/products"
"TIRADITO DE PESCADO","MENU AFTER","",55000,"/products"
"TIRADITO DE RES","ENTRADAS Y ENSALADAS","",65500,"/products"
"TOALLA","Otros","",10000,"/products"
"toalla papel de mano pqt","Otros","Und",0,"/ingredients"
"tocineta","COMPLEMENTOS Y ADICIONALES","",15900,"/products"
"Tocineta ahumada","Insumos cocina","Gr",0,"/ingredients"
"TOCINO CARNUDO","Insumos cocina","Gr",0,"/ingredients"
"Tomate","Insumos cocina","Gr",0,"/ingredients"
"Tomate Cherry","Insumos cocina","Gr",0,"/ingredients"
"TOMATE VERDE","PRODUCCION COCINA","Gr",0,"/ingredients"
"tomates en lata","Insumos cocina","Gr",0,"/ingredients"
"TOMILLO","Insumos cocina","Und",0,"/ingredients"
"Tonica Canada Dry","BEBIDAS","",15000,"/products"
"Tonica INDI","BEBIDAS","",20000,"/products"
"Tonica OCEAN","BEBIDAS","",20000,"/products"
"Tónica PINK","BEBIDAS","",20000,"/products"
"Torombolo","Producción BAR","Kg",0,"/ingredients"
"Toronja deshidratada","Producción BAR","Und",0,"/ingredients"
"tortilla de maiz","Insumos cocina","Und",0,"/ingredients"
"tortillas bimbo","Insumos cocina","Und",0,"/ingredients"
"tostadas susanita","Insumos cocina","Gr",0,"/ingredients"
"transporte adicional","Otros","",160000,"/products"
"Transporte castillete","Otros","",500000,"/products"
"TRANSPORTE DE PIDIDA DE MANO","Consumo pasadía","",280000,"/products"
"TRANSPORTE DE PIDIDA DE MANO","Consumo pasadía","",370000,"/products"
"TRANSPORTE DE PIDIDA DE MANO","Consumo pasadía","",0,"/products"
"TRANSPORTE MARITIMO","Otros","",220000,"/products"
"TRANSPORTE MARITIMO","Otros","",1000000,"/products"
"TRANSPORTE MARITIMO","Otros","",900000,"/products"
"transporte terrestre","Otros","",500000,"/products"
"trapero hotelero","Otros","Und",0,"/ingredients"
"TRAPICHE VINEYARD MALBE","VINOS / ESPUMOSOS","",230000,"/products"
"TUNA LOIN","Insumos cocina","Gr",0,"/ingredients"
"Uchuva","Insumos cocina","Gr",0,"/ingredients"
"Uva pasa","PRODUCCION COCINA","Gr",0,"/ingredients"
"V. B. Santa Carolina Reservado Sauvignon Blanc ","VINOS / ESPUMOSOS","",0,"/ingredients"
"VARIEDAD DE PAN","DESAYUNOS BUFFET","",0,"/products"
"Vaso de Leche","BEBIDA CALIENTES - HOT SOFT DRINKS","",5000,"/products"
"vasos desechables","Insumos cocina","Unidad",0,"/ingredients"
"VEGETALES","DESAYUNOS BUFFET","",0,"/products"
"Vermouth Cinzano Bianco 1000ml","LICORES","",0,"/ingredients"
"Vinagre 3000ML","Insumos cocina","Ml",0,"/ingredients"
"Vinagre balsamico","Insumos cocina","Ml",0,"/ingredients"
"Vino Blanco","DESCORCHE","",49750,"/products"
"VINO BLANCO","PRODUCCION COCINA","Ml",0,"/ingredients"
"Vino Blanco Cousiño Macul Don Luis Chardonnay","VINOS / ESPUMOSOS","",150000,"/products"
"VINO BLANCO RAMON BILBAO VERDEJO","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"Vino Blanco Rosaleda 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"VINO ESPUMOSO","DESCORCHE","",130000,"/products"
"Vino PANUL varietal Chardonnay 750 ml","VINOS / ESPUMOSOS","",140000,"/products"
