Producto,Categoria,UnidadProducto,PrecioVenta,Fuente
"BELVEREDE VODKA BT","BOTELLAS","",420000,"/products"
"Berenjena","Insumos cocina","Gr",0,"/ingredients"
"Bermut Martini Bianco 750ml","LICORES","Unidad",0,"/ingredients"
"Bermut Martini Rosso 750ml","LICORES","Unidad",0,"/ingredients"
"Bicarbonato Aro","Insumos cocina","Gr",0,"/ingredients"
"blanqueador","Otros","Unidad",0,"/ingredients"
"BLOQUEARDOR  50P","Otros","Und",0,"/ingredients"
"Bofe","Insumos cocina","Gr",0,"/ingredients"
"bola","Insumos cocina","Kg",0,"/ingredients"
"bollito muchacho","Insumos cocina","Kg",0,"/ingredients"
"bolsa papelera pequeña  43X48 CM","Otros","Und",0,"/ingredients"
"bolsas","Insumos cocina","Unidad",0,"/ingredients"
"BON AIRE SPRYA X3","Otros","Und",0,"/ingredients"
"BONAIRE VARITAS FRUTOS ROJOS X 80 ML","Otros","",0,"/products"
"bonaire-varitas-frutos-rojos-x-80-ml","Otros","Und",0,"/ingredients"
"boquilla beigs","Otros","",0,"/ingredients"
"BOTELLA SANTA HELENA  VINO TINTO BT","BOTELLAS","",160000,"/products"
"Botellon de Agua","Insumos cocina","Und",0,"/ingredients"
"Brandy Domecq 750ml","LICORES","Unidad",0,"/ingredients"
"Brandy Gran Duque De Alba 750-ml","LICORES","Und",0,"/ingredients"
"Brocheta de pepino","Producción BAR","Und",0,"/ingredients"
"brownie","Insumos cocina","Und",0,"/ingredients"
"Brownie","MENU ATOLON KIDS PASA DIA","",1,"/products"
"BROWNIE","MENU AFTER","",32000,"/products"
"BROWNIE","BODA","",32000,"/products"
"BROWNIE","FULL YATE MENU","",32000,"/products"
"Buchanan 12 - 750ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"Buchanan 18 - 750ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"Buchanan Master  - 750ml","WHISKY / BOURBON","",0,"/ingredients"
"BUCHANAN'S","DESCORCHE","",275000,"/products"
"BULLDOG","VODKA / GIN","Unidad",0,"/ingredients"
"Bulleit Bourbon 750ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"Bulleit Rye 750ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"BURRATA","Insumos cocina","Unidad",0,"/ingredients"
"Burrata, Confitura de Corozo y Pan de Masa Madre","MENU FULL YATE","",60000,"/products"
"BURRATA, CONFITURA DE COROZO Y PAN MASA MADRE","MENU AFTER","",60000,"/products"
"BURRITO DE PESCADO + SODA","BODA","",35000,"/products"
"BURRITO DE POLLO + SODA","BODA","",35000,"/products"
"butifarra","Insumos cocina","Und",0,"/ingredients"
"Cabeza de pescado","Insumos cocina","Gr",0,"/ingredients"
"Cabeza de pescado","PRODUCCION COCINA","Gr",0,"/ingredients"
"cable encauchetado 3x12","Otros","",0,"/ingredients"
"Café","Producción BAR","Gr",0,"/ingredients"
"CAFE AMERICANO","BEBIDA CALIENTES - HOT SOFT DRINKS","",9000,"/products"
"CAFE EXPRESSO","HOT SOFT DRINKS","",8000,"/products"
"CAFE EXPRESSO DOBLE","HOT SOFT DRINKS","",11000,"/products"
"Cafe juan valdez capsula x 8","Producción BAR","Und",0,"/ingredients"
"CAFE LATTE","BEBIDA CALIENTES - HOT SOFT DRINKS","",11000,"/products"
"CAFE MOCACHINO","HOT SOFT DRINKS","",11000,"/products"
"CAFE MOCACHINO","BEBIDA CALIENTES - HOT SOFT DRINKS","",11000,"/products"
"Cafe Sello Rojo","BEBIDA CALIENTES - HOT SOFT DRINKS","Gr",0,"/ingredients"
"Café Sello Rojo","PRODUCCION COCINA","Gr",0,"/ingredients"
"Caja de pizza","Insumos cocina","Und",0,"/ingredients"
"CALABAZA","Insumos cocina","Gr",0,"/ingredients"
"Calamar","Insumos cocina","Gr",0,"/ingredients"
"CALCULADORA","Otros","",0,"/ingredients"
"CAMARON","Insumos cocina","Gr",0,"/ingredients"
"Campari 750ml","LICORES","Unidad",0,"/ingredients"
"Canela","Producción BAR","Und",0,"/ingredients"
"CANELA  EN ASTILLAS","Insumos cocina","Gr",0,"/ingredients"
"canela en polvo","Producción BAR","Und",0,"/ingredients"
"CAPUCHINO","HOT SOFT DRINKS","",11000,"/products"
"CAPUCHINO","BEBIDA CALIENTES - HOT SOFT DRINKS","",11000,"/products"
"CARAMBOLO","Insumos cocina","Gr",0,"/ingredients"
"CARAMBOLO","Insumos cocina","Gr",0,"/ingredients"
"CARIMAÑOLAS","Insumos cocina","Unidad",0,"/ingredients"
"CARIMAÑOLAS DE CERDO","PRODUCCION COCINA","",0,"/ingredients"
"CARIMAÑOLAS DE CERDO","ENTRADAS Y ENSALADAS","Unidad",0,"/ingredients"
"CARNE BISTECK","PLATOS PRINCIPALES","Kg",0,"/ingredients"
"CARNE MOLIDA","Insumos cocina","Kg",0,"/ingredients"
"CARPACCIO DE REMOLACHA","ENTRADAS Y ENSALADAS","",35000,"/products"
"Cebolla blanca","Insumos cocina","Gr",0,"/ingredients"
"Cebolla Morada","Insumos cocina","Gr",0,"/ingredients"
"cebollin","Insumos cocina","Gr",0,"/ingredients"
