Producto,Categoria,UnidadProducto,Ingrediente,CantidadReceta,UnidadIngrediente
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Tomate",300,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Cebolla blanca",150,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Ajo",2,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Pepino Cohombro",200,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Cilantro",200,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Limon",1000,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Pimienta Badia",2,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Sal",5,"Gr"
"AGUACHILE  VERDE","PRODUCCION COCINA","Ml","Ajii jalapenos",10,"Gr"
"AGUACHILE DE CAMARON","ENTRADAS Y ENSALADAS","","CAMARON",150,"Gr"
"AGUACHILE DE CAMARON","ENTRADAS Y ENSALADAS","","Pepino Cohombro",50,"Gr"
"AGUACHILE DE CAMARON","ENTRADAS Y ENSALADAS","","Limon",150,"Gr"
"AGUACHILE DE CAMARON","ENTRADAS Y ENSALADAS","","AGUACHILE  VERDE",100,"Ml"
"AGUACHILE DE CAMARON","ENTRADAS Y ENSALADAS","","Cilantro",2,"Gr"
"AGUACHILE DE CAMARON","ENTRADAS Y ENSALADAS","","Cebolla Morada",50,"Gr"
"AGUACHILE DE CAMARON","ENTRADAS Y ENSALADAS","","tortilla de maiz",0.2,"Und"
"AGUARDIENTE  ANTIOQUEÑO REAL SHOT","AGUARDIENTE","","Aguardiente Antioqueño Real 750ml",0.08,"Unidad"
"AGUARDIENTE ANTIOQUEÑO AZUL BT","BOTELLAS","","Aguardiente Antioqueño Azul 750ml",1,"Unidad"
"AGUARDIENTE ANTIOQUEÑO AZUL SHOT","AGUARDIENTE","","Aguardiente Antioqueño Azul 750ml",0.08,"Unidad"
"AGUARDIENTE ANTIOQUEÑO REAL BT","BOTELLAS","","Aguardiente Antioqueño Real 750ml",1,"Unidad"
"AGUARDIENTE ANTIOQUEÑO ROJO BT","BOTELLAS","","Aguardiente Antioqueño Rojo 750ml",1,"Unidad"
"AGUARDIENTE ANTIOQUEÑO ROJO SHOT","AGUARDIENTE","","Aguardiente Antioqueño Rojo 750ml",0.08,"Unidad"
"AGUARDIENTE ANTIOQUEÑO VERDE BT","BOTELLAS","","Aguardiente Antioqueño Verde 750ml",1,"Unidad"
"AGUARDIENTE ANTIOQUEÑO VERDE SHOT","AGUARDIENTE","","Aguardiente Antioqueño Verde 750ml",0.08,"Unidad"
"AGUARDIENTE MANZANARES BT","BOTELLAS","","Aguardiente Amarillo 750ml",1,"Unidad"
"AGUARDIENTE MANZANARES SHOT","AGUARDIENTE","","Aguardiente Amarillo 750ml",0.08,"Unidad"
"AGUILA LIGHT","CERVEZAS","","Cerveza Aguila Light",1,"Unidad"
"AGUILA ORIGINAL","CERVEZAS","","Cerveza Aguila Original",1,"Unidad"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Alas de Pollo",1000,"Kg"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Sal",10,"Gr"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Agua",1000,"Ml"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Aceite Vegetal",500,"ml"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Ajo",50,"Gr"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Comino Badia",5,"Gr"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Paprika Badia",5,"Gr"
"ALITAS DE POLLO","COMEDOR STAFF","Kg","Pimienta Badia",5,"Gr"
"ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg","Aceite Vegetal",200,"ml"
"ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg","Alas de Pollo",1000,"Kg"
"ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg","Salsa de tomate",200,"Gr"
"ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg","Vinagre 3000ML",20,"Ml"
"ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg","Sal",5,"Gr"
"ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg","Mostaza",15,"Gr"
