Producto,Categoria,UnidadProducto,Ingrediente,CantidadReceta,UnidadIngrediente
"BEBIDAS STAFF FLAMANTE","Otros","","Panela D1",4,"Und"
"BEBIDAS STAFF FLAMANTE","Otros","","Limon por OZ",34,"Oz"
"BEBIDAS STAFF FLAMANTE","Otros","","Hielo",3000,"Gr"
"BEBIDAS STAFF FLAMANTE","Otros","","Agua Manantial 500ml",3000,"Unidad"
"BEEFEATER LONDON SHOTS","VODKA / GIN","","Ginebra Beaffeter 700ml",0.0857,"Unidad"
"BEEFEATER PINK SHOTS","VODKA / GIN","","Ginebra Beaffetar Pink 700ml",0.0857,"Unidad"
"BELVEREDE  VODKA SHOT","VODKA / GIN","","Vodka Velvedere 700ml",0.0857,"Unidad"
"BLOODY MARY","COCKTAILS / MIX","","CLAMATO 64 Oz",3,"Oz"
"BLOODY MARY","COCKTAILS / MIX","","Zumo de limon",45,"Ml"
"BLOODY MARY","COCKTAILS / MIX","","Apio",50,"Gr"
"BLOODY MARY","COCKTAILS / MIX","","Aceitunas",15,"Gr"
"BLOODY MARY","COCKTAILS / MIX","","Vodka Grey Goose 700ml",0.0857,"Unidad"
"BOFE","COMEDOR STAFF","Und","Bofe",1000,"Gr"
"BOFE","COMEDOR STAFF","Und","Sal",5,"Gr"
"BOFE","COMEDOR STAFF","Und","Ajo",50,"Gr"
"BOFE","COMEDOR STAFF","Und","Agua",1000,"Ml"
"BOFE","COMEDOR STAFF","Und","Aceite Vegetal",500,"ml"
"BOFE COMEDOR","COMEDOR STAFF","","Bofe",1000,"Gr"
"BOMBAY SHOTS","VODKA / GIN","","Ginebra Bombay Sapphire 700ml",0.0857,"Unidad"
"BRANDY DOMEC BT","BOTELLAS","","Brandy Domecq 750ml",1,"Unidad"
"BRANDY DOMEC SHOT","SPIRITS & COGNACS","","Brandy Domecq 750ml",0.08,"Unidad"
"BRETAÑA","Minibar","","Soda Bretaña",1,"Und"
"Brownie","MENU ATOLONTO KIDS","","brownie",1,"Und"
"Brownie","MENU ATOLONTO KIDS","","CREMA DE AVELLANA",10,"Gr"
"Brownie","MENU ATOLONTO KIDS","","chocolate corona",5,"Gr"
"BROWNIE","POSTRES","","brownie",1,"Und"
"BROWNIE","POSTRES","","chocolate corona",5,"Gr"
"BROWNIE","POSTRES","","AREQUIPE",15,"Gr"
"BROWNIE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","brownie",1,"Und"
"BROWNIE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","chocolate corona",5,"Gr"
"BROWNIE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","CREMA DE AVELLANA",10,"Gr"
"BROWNIE VIP PASS PASADIA","VIP PASS MENU","","brownie",1,"Und"
"BROWNIE VIP PASS PASADIA","VIP PASS MENU","","CREMA DE AVELLANA",20,"Gr"
"BUCHANAN'S 12 AÑOS BT","BOTELLAS","","Buchanan 12 - 750ml",1,"Unidad"
"BUCHANAN'S 12 AÑOS SHOT","WHISKY / BOURBON","","Buchanan 12 - 750ml",0.08,"Unidad"
"BUCHANAN'S 18 AÑOS BT","BOTELLAS","","Buchanan 18 - 750ml",1,"Unidad"
"BUCHANAN'S 18 AÑOS SHOT","WHISKY / BOURBON","","Buchanan 18 - 750ml",0.08,"Unidad"
"Buchanan's Master BT","BOTELLAS","","Buchanan Master  - 750ml",1,""
"Buchanan's Master Shot","Shots","","Buchanan Master  - 750ml",0.08,""
"BULLDOG BT","BOTELLAS","","BULLDOG",1,"Unidad"
"BULLDOG SHOT","VODKA / GIN","","BULLDOG",0.08,"Unidad"
"BULLEIT BOURBON BT","BOTELLAS","","Bulleit Bourbon 750ml",1,"Unidad"
"BULLEIT BOURBON BT","WHISKY / BOURBON","","Bulleit Bourbon 750ml",1,"Unidad"
"BULLEIT BOURBON SHOT","WHISKY / BOURBON","","Bulleit Bourbon 750ml",0.08,"Unidad"
"BULLEIT REY SHOTS","WHISKY / BOURBON","","Bulleit Rye 750ml",0.08,"Unidad"
"BULLEIT RYE BT","BOTELLAS","","Bulleit Rye 750ml",1,"Unidad"
"buñuelos de yuca","PRODUCCION COCINA","Und","masa de  yuca",100,"Gr"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","Sal",1,"Gr"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","Pimienta Badia",1,"Gr"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","Aceite de oliva",2,"Ml"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","BURRATA",1,"Unidad"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","Confitado de corozo",100,"Gr"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","PAN MASA MADRE",0.2,"Unidad"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","Tomate Cherry",20,"Gr"
"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS","","mix de lechugas",70,"Gr"
"BURRATA, CONFITURA DE COROZO Y PAN DE MASA MADRE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","BURRATA",1,"Unidad"
"BURRATA, CONFITURA DE COROZO Y PAN DE MASA MADRE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","PAN MASA MADRE",0.2,"Unidad"
"BURRATA, CONFITURA DE COROZO Y PAN DE MASA MADRE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Rugula",50,"Gr"
"BURRATA, CONFITURA DE COROZO Y PAN DE MASA MADRE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Tomate Cherry",50,"Gr"
"BURRATA, CONFITURA DE COROZO Y PAN DE MASA MADRE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Confitado de corozo",100,"Gr"
"BURRATA, CONFITURA DE COROZO Y PAN DE MASA MADRE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Aceite de oliva",10,"Ml"
"BURRITO DE POLLO + BEBIDA","MENÚ STAFF","","Agua Manantial 500ml",1,"Unidad"
"BURRITO DE POLLO + BEBIDA","MENÚ STAFF","","COCA COLA NORMAL DE 400ML",1,"Unidad"
"BURRITO DE POLLO + BEBIDA","MENÚ STAFF","","bebidas hidratantes",1,"Unidad"
"CACHAZA BT","BOTELLAS","","Ron Cachaza 51 - 965-ml",1,"Und"
"CACHAZA SHOT","RON","","Ron Cachaza 51 - 965-ml",0.06,"Und"
"Cafe con leche","DESAYUNOS -ALMUERZOS -CENA","","Café Sello Rojo",30,"Gr"
"Cafe con leche","DESAYUNOS -ALMUERZOS -CENA","","leche entera",100,"Ml"
"Cafe con leche","DESAYUNOS -ALMUERZOS -CENA","","Agua",20,"Ml"
"CAFÉ CON LECHE","BEBIDA CALIENTES - HOT SOFT DRINKS","","Café Sello Rojo",10,"Gr"
"CAFÉ CON LECHE","BEBIDA CALIENTES - HOT SOFT DRINKS","","Agua",60,"Ml"
"CAFE ESPRESSO","BEBIDA CALIENTES - HOT SOFT DRINKS","","Cafe juan valdez capsula x 8",1,"Und"
"CAFE FRIO","BEBIDA CALIENTES - HOT SOFT DRINKS","","Cafe juan valdez capsula x 8",1,"Und"
"CAFE FRIO","BEBIDA CALIENTES - HOT SOFT DRINKS","","Leche entera",100,"Ml"
"CAFÉ FRIO","BEBIDAS","","Café Sello Rojo",10,"Gr"
"CAFÉ FRIO","BEBIDAS","","Leche deslactosada",120,"ml"
"CAFÉ FRIO","BEBIDAS","","Hielo",180,"Gr"
"CAFÉ FRIO","BEBIDAS","","Syrup Simple",2,"Oz"
"CAFE PERSONAL","COMEDOR STAFF","","Agua",2000,"Ml"
"CAFE PERSONAL","COMEDOR STAFF","","Café Sello Rojo",500,"Gr"
"CAFE PERSONAL","COMEDOR STAFF","","Azucar Aro",500,"Gr"
"CAIPIGUARO","COCKTAILS / MIX","","Aguardiente Antioqueño Azul 750ml",0.08,"Unidad"
"CAIPIGUARO","COCKTAILS / MIX","","Limon",90,"Gr"
"CAIPIGUARO","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"CAIPIGUARO","COCKTAILS / MIX","","Hierba buena",10,"Gr"
"CAIPIRINHA","COCKTAILS / MIX","","Ron Cachaza 51 - 965-ml",0.0625,"Und"
"CAIPIRINHA","COCKTAILS / MIX","","Limon",90,"Gr"
"CAIPIRINHA","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"CAIPIRINHA","COCKTAILS / MIX","","Hierba buena",10,"Gr"
"CAIPIROSKA","COCKTAILS / MIX","","Limon B",90,"Gr"
"CAIPIROSKA","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"CAIPIROSKA","COCKTAILS / MIX","","Hierba buena",10,"Gr"
"CAIPIROSKA","COCKTAILS / MIX","","Vodka Smirnoff Red 700ml",0.0857,"Unidad"
"Caja de pizza","PIZZAS Y TACOS","","Caja de pizza",1,"Und"
"calabacin adicion","Insumos cocina","","ZUQUINI AMARILLO",30,"Gr"
"CAMPARI BT","BOTELLAS","","CAMPARI BT",1,""
"CAMPARI SHOT","Shots","","Campari 750ml",0.08,"Unidad"
"CANASTA DE PAN","Desayuno","","PAN BAGUETTE",0.2,"Und"
"CANASTA DE PAN","Desayuno","","tostadas susanita",40,"Gr"
"CANASTA DE PAN","Desayuno","","Mantequilla",10,"Gr"
"CANASTA DE PAN","Desayuno","","Deditos de chocolate",0.1,"Und"
"CANASTA DE PAN","Desayuno","","Mini croisant",0.1,"Und"
"CANASTA DE PAN Y FRITOS TIPICOS","DESAYUNOS INCLUIDOS","","DEDITOS ",0.1,"Unidad"
"CANASTA DE PAN Y FRITOS TIPICOS","DESAYUNOS INCLUIDOS","","CARIMAÑOLAS",0.04,"Unidad"
"CANASTA DE PAN Y FRITOS TIPICOS","DESAYUNOS INCLUIDOS","","EMPANADAS  DE CARNE ",0.6,"Unidad"
"CANASTA DE PAN Y FRITOS TIPICOS","DESAYUNOS INCLUIDOS","","PAN BAGUETTE",0.2,"Und"
"CANASTA DE PAN Y FRITOS TIPICOS","DESAYUNOS INCLUIDOS","","PAN MOGOLLA",0.2,"Und"
"CANASTA DE PAN Y FRITOS TIPICOS","DESAYUNOS INCLUIDOS","","Pan tajado",0.2,"Unidad"
"CARAJILLO","COCKTAILS / MIX","","Cafe juan valdez capsula x 8",1,"Und"
"CARAJILLO","COCKTAILS / MIX","","Licor 43 - 750ml",0.08,"Unidad"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","masa de  yuca",300,"Gr"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","sofrito",7,"Gr"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","Jengibre",2,"Gr"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","Suero Costeño",30,"Gr"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","Aceite Vegetal",300,"ml"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","Sal",0.2,"Gr"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","Pimienta Badia",0.1,"Gr"
"CARIMAÑOLAS DE CERDO Y GENJIBRE","ENTRADAS Y ENSALADAS","","MASA DE CERDO",0.15,"Kg"
"CARNE BISTECK","COMEDOR STAFF","Kg","MAGGI",1,"Und"
"CARNE BISTECK","COMEDOR STAFF","Kg","CARNE BISTECK",1,"Kg"
"CARNE BISTECK","COMEDOR STAFF","Kg","Tomate",100,"Gr"
"CARNE BISTECK","COMEDOR STAFF","Kg","Cebolla blanca",100,"Gr"
"CARNE BISTECK","COMEDOR STAFF","Kg","Ajo",50,"Gr"
"CARNE BISTECK","COMEDOR STAFF","Kg","Agua",100,"Ml"
"CARNE BISTECK","COMEDOR STAFF","Kg","Mostaza",100,"Gr"
"CARNE BISTECK","COMEDOR STAFF","Kg","Vinagre 3000ML",100,"Ml"
"CARNE BISTECK","COMEDOR STAFF","Kg","Sal",10,"Gr"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","CARNE MOLIDA",1000,"Kg"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Tomate",100,"Gr"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Cebolla blanca",100,"Gr"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Pimenton rojo",100,"Gr"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Pimenton verde",100,"Gr"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Ajo",50,"Gr"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Agua",100,"Ml"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Aceite Vegetal",100,"ml"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","Sal",10,"Gr"
"CARNE MOLIDA","PRODUCCION COCINA","Kg","MAGGI",1,"Und"
"CEBOLLA CARAMELIZADA","PRODUCCION COCINA","Kg","Cebolla blanca",1000,"Gr"
"CEBOLLA CARAMELIZADA","PRODUCCION COCINA","Kg","Aceite de oliva",100,"Ml"
"CEBOLLA CARAMELIZADA","PRODUCCION COCINA","Kg","Mostaza",50,"Gr"
"CEBOLLA CARAMELIZADA","PRODUCCION COCINA","Kg","Sal",5,"Gr"
"CEBOLLA CARAMELIZADA","PRODUCCION COCINA","Kg","Pimienta Badia",2,"Gr"
"CEBOLLA CARAMELIZADA","PRODUCCION COCINA","Kg","MIEL",150,"Ml"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Kg","Cebolla roja",1000,"Gr"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Kg","Agua",600,"Ml"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Kg","Vinagre 3000ML",200,"Ml"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Kg","laurel",1,"Gr"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Kg","Pimienta Badia",1,"Gr"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Kg","Sal",10,"Gr"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Kg","REMOLACHA",20,"Gr"
"Cena romantica","Otros","","Cinzano Splitz BT",1,""
"Cena romantica","Otros","","jamon colanta",160,"Gr"
"Cena romantica","Otros","","QUESO MOZARRELLA( UND)",8,"Unidad"
"Cena romantica","Otros","","peperoni",100,"Gr"
"Cena romantica","Otros","","Melon",100,"Gr"
"Cena romantica","Otros","","PAN MASA MADRE",0.2,"Unidad"
"Cena romantica","Otros","","Tomate Cherry",100,"Gr"
"Cena romantica","Otros","","ALBAHACA",5,"Gr"
"CENA ROMANTICA","COMPLEMENTOS Y ADICIONALES","","Vino Blanco Rosaleda 750ml",1,"Unidad"
"CENA ROMANTICA","COMPLEMENTOS Y ADICIONALES","","Espumoso Baron Rotberg 750ml",1,"Unidad"
"Cepillos de dientes","Minibar","","Cepillos de dientes",1,""
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","Filete de tilapia",1,"Und"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","Pimenton rojo",60,"Gr"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","Cebolla Morada",60,"Gr"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","Cilantro",10,"Gr"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","Leche de tigre",100,"Gr"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","Limon",100,"Gr"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","maíz tierno",80,"Gr"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","TORTILLAS",120,"Gr"
"CEVICHE ATOLON","ENTRADAS Y ENSALADAS","","Tabasco",30,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","Tomate Cherry",60,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","Leche de tigre",100,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","Limon",500,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","GUATILA",30,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","AJI HABANERO",6,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","AJI DULCE",0.5,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","Filete de Tilapia",150,"Gr"
"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS","","Cebolla Morada",40,"Gr"
"champagne myc ice imperial","VINOS / ESPUMOSOS","","champagne myc ice imperial",1,"Unidad"
"CHANDON  BRUT EXCLUSIVE","VIP EXCLUSIVE MENU","","Espumoso Chandon Brut",1,"Unidad"
"CHANDON  ROSE BT","BOTELLAS","","Espumoso Chandon Rose 750ml",1,"Unidad"
"Chandon Extra Brut 750Ml BT","VINOS / ESPUMOSOS","","Chandon Extra Brut 750Ml BT",1,""
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","Suero Costeño",30,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","buñuelos de yuca",1,"Und"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","Pepino Cohombro",10,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","Cilantro",1,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","Limon",60,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","Pimienta Badia",0.1,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","Sal",0.2,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","TOCINO CARNUDO",200,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","AJI DULCE",10,"Gr"
"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS","","Cebolla Morada",20,"Gr"
"CHIMICHURRI","PRODUCCION COCINA","Gr","Limon",100,"Gr"
"CHIMICHURRI","PRODUCCION COCINA","Gr","ACEITE DE GIRASOL",200,"Ml"
"CHIMICHURRI","PRODUCCION COCINA","Gr","Aceite de oliva",200,"Ml"
"CHIMICHURRI","PRODUCCION COCINA","Gr","perejil",120,"Gr"
"CHIMICHURRI","PRODUCCION COCINA","Gr","Vinagre 3000ML",130,"Ml"
"CHIMICHURRI","PRODUCCION COCINA","Gr","Copa vino tinto finca las moras Malbec 750ml",0.1,"Unidad"
"CHIMICHURRI","PRODUCCION COCINA","Gr","Paprika Badia",2,"Gr"
"CHIVAS REGAL 12 AÑOS BT","BOTELLAS","","Chivas Regal 12 - 700ml",1,"Unidad"
"CHIVAS REGAL 12 AÑOS SHOT","WHISKY / BOURBON","","Chivas Regal 12 - 700ml",0.0857,"Unidad"
"CHIVAS REGAL 18 AÑOS BT","BOTELLAS","","Chivas Regal 18 - 700ml",1,"Unidad"
"CHIVAS REGAL 18 AÑOS SHOT","WHISKY / BOURBON","","Chivas Regal 18 - 700ml",0.0857,"Unidad"
"chocolate","DESAYUNOS INCLUIDOS","","chocolate corona",30,"Gr"
"chocolate","DESAYUNOS INCLUIDOS","","leche entera",200,"Ml"
"Chocolate M&M","Minibar","","Chocolate M&M",1,""
"CHULETA","PRODUCCION COCINA","Kg","CHULETA",1,"Kg"
"CHULETA","PRODUCCION COCINA","Kg","Tomate",200,"Gr"
"CHULETA","PRODUCCION COCINA","Kg","Cebolla roja",200,"Gr"
"CHULETA","PRODUCCION COCINA","Kg","Ajo",50,"Gr"
"CHULETA","PRODUCCION COCINA","Kg","Mostaza",50,"Gr"
"CHULETA","PRODUCCION COCINA","Kg","Sal",5,"Gr"
"CHULETA","PRODUCCION COCINA","Kg","MAGGI",1,"Und"
"CHULETA","PRODUCCION COCINA","Kg","Agua",100,"Ml"
"CHULETA","PRODUCCION COCINA","Kg","Aceite Vegetal",10,"ml"
"Cinzano Splitz BT","BOTELLAS","","Cinzano Splitz BT",1,""
"CLUB COLOMBIA","CERVEZAS","","CLUB COLOMBIA",1,""
"COCA COLA","BEBIDAS","","Coca Cola Original Botella 400ml",1,"Unidad"
"Coca Cola 330ml","BEBIDAS","","Coca Cola Regular 330ml",1,"Unidad"
"Coca Cola Zero 330ml","BEBIDAS","","Coca Cola Zero 330ml",1,""
"Coco Frio","BEBIDAS","","Coco Frio",1,""
"Coco Frio","BEBIDAS","","Cereza",0.1,"Unidad"
"COCO-LOCO","COCKTAILS / MIX","","Ron Viejo de Caldas Blanco 750ml",0.04,"Unidad"
"COCO-LOCO","COCKTAILS / MIX","","Ginebra Gordons 700ml",0.04285,"Unidad"
"COCO-LOCO","COCKTAILS / MIX","","Vodka Smirnoff Red 700ml",0.04285,"Unidad"
"COCO-LOCO","COCKTAILS / MIX","","Jose Cuervo Blanco 750ml",0.04,"Unidad"
"COCO-LOCO","COCKTAILS / MIX","","Crema de coco",60,"Ml"
"COCO-LOCO","COCKTAILS / MIX","","Zumo de limon",15,"Ml"
"COCO-LOCO","COCKTAILS / MIX","","Licor Triple Sec 750ml",0.04,"Unidad"
"COCO-LOCO","COCKTAILS / MIX","","Limon",20,"Gr"
"COCO-LOCO","COCKTAILS / MIX","","Cereza marrasquino",5,"Gr"
"COCTEL BIENVENIDA","COCKTAILS / MIX","","Corozo x ml",236,"Ml"
"COCTEL BIENVENIDA","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"COCTEL BIENVENIDA","COCKTAILS / MIX","","Limon",15,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","Salsa de tomate",50,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","Mayonesa Fruco",50,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","Limon",100,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","Cilantro",2,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","fermento de ajo y cebolla",50,"Ml"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","CAMARON",150,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","Pimienta Badia",0.5,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","Cebolla Morada",40,"Gr"
"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS","Und","platanos",0.5,"Und"
"COFFE NEGRONI","COCKTAILS / MIX","","Campari 750ml",0.04,"Unidad"
"COFFE NEGRONI","COCKTAILS / MIX","","Mezcal Union 700ml",0.04285,"Unidad"
"COFFE NEGRONI","COCKTAILS / MIX","","Bermut Martini Rosso 750ml",0.04,"Unidad"
"COFFE NEGRONI","COCKTAILS / MIX","","Naranjas Frutas",15,"Gr"
"COGNAC GRAN MARNIER BT","BOTELLAS","","Cognac grand marnier 750-ml",1,"Und"
"COGNAC GRAN MARNIER SHOT","SPIRITS & COGNACS","","Cognac grand marnier 750-ml",0.08,"Und"
"COGNAC HENNESSY VERY SPECIAL SHOT","SPIRITS & COGNACS","","Cognac Hennessy 700-ml",0.857,"Und"
"COGNAC HENNESY VS BT","BOTELLAS","","Cognac Hennessy 700-ml",1,"Und"
"COGNAC REMY MARTIN VSOP SHOT","SPIRITS & COGNACS","","Remy Martin 700ml",0.857,"Unidad"
"Colgate","Minibar","","Colgate",1,""
"COMBO BOTELLA","BEBIDAS","","Canada Dry",1,"Und"
"COMBO BOTELLA","BEBIDAS","","Cubeta",1.5,"Und"
"COMBO BOTELLA","BEBIDAS","","COCA CORA 0(CERO)",2,"Unidad"
"COMBO BOTELLA","BEBIDAS","","soda bretaña",2,"Und"
"COMBO BOTELLA","BEBIDAS","","Hielo",20,"Gr"
"COMIDA STAF","Otros","","Arroz",200,"Gr"
"COMIDA STAF","Otros","","pechuga de pollo",200,"Gr"
"COMIDA STAF","Otros","","ENSALADAS ENSALADA FRESCA",1,"Und"
"COMIDA STAF","Otros","","patacón de pochocho",2,"Und"
"Confitado de corozo","PRODUCCION COCINA","Gr","Fruta corozo",2000,"Gr"
"Confitado de corozo","PRODUCCION COCINA","Gr","Azucar Aro",600,"Gr"
"Confitado de corozo","PRODUCCION COCINA","Gr","Anis estrella",5,"Gr"
"Confitado de corozo","PRODUCCION COCINA","Gr","Agua",3000,"Ml"
"Copa Baron de Rothberg Brut","VINOS / ESPUMOSOS","","Baron de Rothberg BRUT",1,"Oz"
"Copa Baron de Rothberg Demi Sec","VINOS / ESPUMOSOS","","Demi Sec Baron de rothberg (unidad)",1,"Unidad"
"COPA CHANDON EXTRA BRUT","VINOS / ESPUMOSOS","","Espumoso Chandon Brut",0.2,"Unidad"
"COPA DE VINO BLANCO SANTA CAROLINA","VINOS / ESPUMOSOS","","V. B. Santa Carolina Reservado Sauvignon Blanc ",0.2,""
"Copa Santa Carolina Merlot","VINOS / ESPUMOSOS","","Santa Carolina Reservado Merlot",0.2,""
"Copa santa clara vino blanco Sauvignon","VINOS / ESPUMOSOS","","Vino Blanco Rosaleda Sauvignon blanc (unidad)",1,"Unidad"
"Copa Vino Rosse Rosaleda","VINOS / ESPUMOSOS","","Vino Rosado Rosaleda",1,"Unidad"
"copa Vino Tinto La Celia Reserva Malbec","VINOS / ESPUMOSOS","","Vino Tinto La Celia 750ml",0.2,"Unidad"
"Copa Vino tinto Merlot Rosaleda","VINOS / ESPUMOSOS","","Vino tinto Merlot Rosaleda (Unidad)",1,"Unidad"
"COPA VINO TINTO SANTA CAROLINA","VINOS / ESPUMOSOS","","Vino Tinto Santa Carolina Reservado 750ml",0.2,"Unidad"
"CORONA","CERVEZAS","","Cerveza Corona",1,"Unidad"
"CORONITA","CERVEZAS","","Cerveza Coronita",1,"Unidad"
"COROZMOPOLITAN","COCKTAILS / MIX","","Zumo de limon",15,"Ml"
"COROZMOPOLITAN","COCKTAILS / MIX","","Zumo de corozo",45,"Ml"
"COROZMOPOLITAN","COCKTAILS / MIX","","Syrup Simple",0.5,"Oz"
"COROZMOPOLITAN","COCKTAILS / MIX","","Soho Licor de Lichee 700ml",0.04285,"Unidad"
"COROZMOPOLITAN","COCKTAILS / MIX","","Lychee Fruta Lata",20,"Gr"
"COROZMOPOLITAN","COCKTAILS / MIX","","Vodka Smirnoff Red 700ml",0.0857,"Unidad"
"COSTEÑITA","CERVEZAS","","Cerveza Costeñita",1,"Unidad"
"costilla de res","PRODUCCION COCINA","Und","HUESO DE RES",1000,"Kg"
"costilla de res","PRODUCCION COCINA","Und","Papa",500,"Gr"
"costilla de res","PRODUCCION COCINA","Und","Tomate",200,"Gr"
"costilla de res","PRODUCCION COCINA","Und","Cebolla roja",200,"Gr"
"costilla de res","PRODUCCION COCINA","Und","AJI HABANERO",100,"Gr"
"costilla de res","PRODUCCION COCINA","Und","Sal",10,"Gr"
"costilla de res","PRODUCCION COCINA","Und","Agua",1000,"Ml"
